pdf_page_id,source_id,source_path,repo_canonical_path,pdf_sha256,page_number,page_count,page_type,text_chars,text_excerpt,visual_review_batch,visual_review_status,notes
pdf_0011,desktop_amber_source,/Users/jayjonah/Desktop/amber site/PDF/BUSNIESS CARD.pdf,research/source-assets/0a/0aee0311dfc95c7c5ea215ce3229ef3321fadc2062f3773990dc105a91e89c66.pdf,0aee0311dfc95c7c5ea215ce3229ef3321fadc2062f3773990dc105a91e89c66,1,1,visual_dominant,0,,business_pdf_pages,reviewed,
pdf_0012,desktop_amber_source,/Users/jayjonah/Desktop/amber site/PDF/PORTRAIT.pdf,research/source-assets/72/7255021e9b99c82b122f2c525f9200d1ea889f2e8a307b2b4b36571521c701d5.pdf,7255021e9b99c82b122f2c525f9200d1ea889f2e8a307b2b4b36571521c701d5,1,1,visual_dominant,0,,business_pdf_pages,reviewed,
pdf_0013,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Untitled (1)/amber, .pdf",research/source-assets/5a/5a104cf0137d24d7e77a2a79e6dc824504d099ceb8f28e91710a1bbe813b591d.pdf,5a104cf0137d24d7e77a2a79e6dc824504d099ceb8f28e91710a1bbe813b591d,1,3,visual_dominant,0,,creative_pdf_pages,reviewed,
pdf_0014,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Untitled (1)/amber, .pdf",research/source-assets/5a/5a104cf0137d24d7e77a2a79e6dc824504d099ceb8f28e91710a1bbe813b591d.pdf,5a104cf0137d24d7e77a2a79e6dc824504d099ceb8f28e91710a1bbe813b591d,2,3,text_dominant,1107,"Amber, Today is Mother’s Day, but it is also your birthday, so it feels like the world is making room to celebrate you twice. I want you to know how deeply I see you and appreciate you. You are a force in my life. You are grounding, steady, beautiful, intentional, and full of light. You have a way of making love feel real, present, and protective. If my moth",creative_pdf_pages,reviewed,
pdf_0015,desktop_amber_source,"/Users/jayjonah/Desktop/amber site/Untitled (1)/amber, .pdf",research/source-assets/5a/5a104cf0137d24d7e77a2a79e6dc824504d099ceb8f28e91710a1bbe813b591d.pdf,5a104cf0137d24d7e77a2a79e6dc824504d099ceb8f28e91710a1bbe813b591d,3,3,visual_dominant,0,,creative_pdf_pages,reviewed,
pdf_0016,desktop_amber_source,/Users/jayjonah/Desktop/amber site/Untitled (1)/Untitled_1.pdf,research/source-assets/c4/c4a03a1cb1bb44e780b672193ddc1f634fc3f04d92c5c9e447a06c72813d2c9b.pdf,c4a03a1cb1bb44e780b672193ddc1f634fc3f04d92c5c9e447a06c72813d2c9b,1,1,visual_dominant,0,,creative_pdf_pages,reviewed,
pdf_0017,desktop_amber_source,/Users/jayjonah/Desktop/amber site/Untitled (1)/Untitled_2.pdf,research/source-assets/26/2662a4b596043e76bb0eb9714d802fd723ac8c22151f90f5207fc41072dab7aa.pdf,2662a4b596043e76bb0eb9714d802fd723ac8c22151f90f5207fc41072dab7aa,1,1,mixed,683,"Amber, Today i/s.fina Mother’/s.fina Day, but it i/s.fina al/s.finao your birthday, /s.finao it feel/s.fina twice. .ﯘ are grounding, steady, have /a.fina way of making love feel real, present, and protective. If my mother i/s.fina are surely the earth: the gravity that help/s.fina keep me here, the warmth that remind/s.fina me I am held, and the presence tha",creative_pdf_pages,reviewed,
pdf_0018,desktop_amber_source,/Users/jayjonah/Desktop/amber site/Untitled (1)/Untitled_3.pdf,research/source-assets/d1/d1fb92c4e9ba2f4bab15e73cacab49d0f855f3756907e43d5561d43318bb2cb1.pdf,d1fb92c4e9ba2f4bab15e73cacab49d0f855f3756907e43d5561d43318bb2cb1,1,1,visual_dominant,0,,creative_pdf_pages,reviewed,
pdf_0019,desktop_amber_source,/Users/jayjonah/Desktop/amber site/Untitled-1 [Recovered].ai,research/source-assets/31/315ba422465dbbd30e3d9f4c35fda74c458094609fe029cf77216dcf56109168.ai,315ba422465dbbd30e3d9f4c35fda74c458094609fe029cf77216dcf56109168,1,1,visual_dominant,0,,creative_pdf_pages,reviewed,
pdf_0020,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber Johnson.pdf,research/source-assets/15/15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9.pdf,15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9,1,6,text_dominant,1213,"Amber Johnson Oakland, CA [Phone Number] | [Email Address] Professional Summary Experienced business owner and customer service professional with 15+ years in client-facing roles, front desk operations, billing coordination, and service-based business management. Licensed Esthetician with hands-on dermatology clinic experience supporting medical procedures, ",relocated_business_design_pages,reviewed,
pdf_0021,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber Johnson.pdf,research/source-assets/15/15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9.pdf,15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9,2,6,text_dominant,938,"Professional Communication Documentation Accuracy Operational Standards Service Delivery Excellence Confidentiality Compliance Professional Experience Owner | Licensed Esthetician Amber’s Essential Touch | Oakland, CA | [Year – Present] • Operate independent skincare practice focused on consultation-driven service • Conduct detailed assessments to determine ",relocated_business_design_pages,reviewed,
pdf_0022,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber Johnson.pdf,research/source-assets/15/15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9.pdf,15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9,3,6,text_dominant,711,"• Uphold high procedural excellence within structured clinical environment Additional Experience 15+ Years Client-Focused Service • Navigate complex client interactions with professionalism • Maintain operational efficiency in fast-paced environments • Resolve concerns through calm, solution-focused communication • Support service environments that demand hi",relocated_business_design_pages,reviewed,
pdf_0023,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber Johnson.pdf,research/source-assets/15/15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9.pdf,15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9,4,6,text_dominant,1178,"Conflict Resolution & Professional Communication Professional Experience Owner | Licensed Esthetician Amber’s Essential Touch | Oakland, CA | [Year – Present] • Founded and manage a skincare and wellness business, overseeing daily operations and client services • Perform professional esthetic treatments including facials, skin analysis, and customized servic",relocated_business_design_pages,reviewed,
pdf_0024,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber Johnson.pdf,research/source-assets/15/15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9.pdf,15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9,5,6,text_dominant,940,"• Support cosmetic procedures including microneedling and laser treatments (as applicable) • Manage scheduling coordination, chart updates, and medical-grade skincare inventory Additional Customer Service & Operations Experience 15+ Years Combined Experience • Provided front desk support in high-volume environments • Processed payments and managed billing in",relocated_business_design_pages,reviewed,
pdf_0025,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber Johnson.pdf,research/source-assets/15/15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9.pdf,15848f07498667507415b4936fcccfe69dc08bd78d430839a75b2a15571f75b9,6,6,text_dominant,801,"3. Problem Solving Ability to assess situations, identify solutions, act decisively. 5. Adaptability Comfort with change, learning new systems, adjusting under pressure. 7. Time Management Prioritizing tasks, meeting deadlines, maintaining productivity. 9. Team Collaboration Working effectively with different personalities, supporting shared goals. 11. Emoti",relocated_business_design_pages,reviewed,
pdf_0026,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber's Essential Touch — Home (Print).pdf,research/source-assets/5e/5ea30cc3608f180cd16ff4073ac8cab8bfea2c5d4e29a4045afefe2368c1b79a.pdf,5ea30cc3608f180cd16ff4073ac8cab8bfea2c5d4e29a4045afefe2368c1b79a,1,4,text_dominant,710,"Am ber's Essential Touch PREMIUM BOTANICAL SKINCARE · PINOLE, CA PROFESSIONAL SKINCARE SANCTUARY W here your skinis understood,not just treated. Personalized treatments. Real education. A sanctuary for every tone, every age, and every skin story. Black-owned · Community-rooted · Results-focused BOOK: (510) 228-6657 ""This is more than skin care. This is self-",relocated_business_design_pages,reviewed,
pdf_0027,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber's Essential Touch — Home (Print).pdf,research/source-assets/5e/5ea30cc3608f180cd16ff4073ac8cab8bfea2c5d4e29a4045afefe2368c1b79a.pdf,5ea30cc3608f180cd16ff4073ac8cab8bfea2c5d4e29a4045afefe2368c1b79a,2,4,mixed,368,"Essential, like water. Preserved, like diamonds. Your skin is the most valuable material you will ever live in. Its worth is not created by treatment. It is recognized through care. Amber combines trained judgment, attentive upkeep, and treatment shaped around the skin in front of her. A best frien d recogn izes your worth. A profession al kn ows how to pres",relocated_business_design_pages,reviewed,
pdf_0028,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber's Essential Touch — Home (Print).pdf,research/source-assets/5e/5ea30cc3608f180cd16ff4073ac8cab8bfea2c5d4e29a4045afefe2368c1b79a.pdf,5ea30cc3608f180cd16ff4073ac8cab8bfea2c5d4e29a4045afefe2368c1b79a,3,4,text_dominant,1309,"SERVICES Care selected for the skin in front of us. All services begin with a short consultation. Prices vary by skin, not by card on file. Consultation Facial Extractions, peels, enzyme work — shaped to your skin on the day. 60–90 MIN · FROM $95 Acne-Focused Treatment Protocol-based, multi-visit care that supports clearer skin. Aftercare included. 60 MIN · ",relocated_business_design_pages,reviewed,
pdf_0029,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./Amber's Essential Touch — Home (Print).pdf,research/source-assets/5e/5ea30cc3608f180cd16ff4073ac8cab8bfea2c5d4e29a4045afefe2368c1b79a.pdf,5ea30cc3608f180cd16ff4073ac8cab8bfea2c5d4e29a4045afefe2368c1b79a,4,4,text_dominant,1259,"THE WOMAN BEHIND THE TOUCH Exp ert care, m ade p ersonal. Amber's Essential Touch is rooted in the belief that every person deserves to understand their skin and receive care shaped around their actual needs. Amber pairs professional technique with attentive, human care — creating a treatment experience where clients are seen, informed, and respected. Licens",relocated_business_design_pages,reviewed,
pdf_0030,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER'S ESSENTIAL TOUCH — VOICE GUIDE.pdf,research/source-assets/7e/7e87e69e590252799d8e72a0eaaf4a454b46de14f3299691d6bf4de846a17770.pdf,7e87e69e590252799d8e72a0eaaf4a454b46de14f3299691d6bf4de846a17770,1,4,text_dominant,1218,"AMBER'S ESSENTIAL TOUCH — VOICE GUIDE File 07 of 7. Source-extracted from Facebook page, flyer, landing PDF, and Birdeye profile. One-sentence positioning **Amber's Essential Touch is a ritual-based skin practice — aftercare-first, consultation-driven, rooted in 18 years of licensed esthetic work in Pinole, CA.** Core brand phrases (canonical — always availa",relocated_business_design_pages,reviewed,
pdf_0031,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER'S ESSENTIAL TOUCH — VOICE GUIDE.pdf,research/source-assets/7e/7e87e69e590252799d8e72a0eaaf4a454b46de14f3299691d6bf4de846a17770.pdf,7e87e69e590252799d8e72a0eaaf4a454b46de14f3299691d6bf4de846a17770,2,4,text_dominant,1494,"2. **Short declarative stack:** *""Licensed Esthetician. Waxing specialist. Eighteen years. Still learning.""* 3. **Italic emotional word:** *""Where Skin Care Becomes __Ritual__.""* 4. **All-caps eyebrow + serif headline:** `PURELY ESSENTIAL` → *4 Ingredients. Infinite Possibilities.* Always use ""ritual,"" ""practice,"" ""intentional,"" ""gentle,"" ""aftercare,"" ""consu",relocated_business_design_pages,reviewed,
pdf_0032,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER'S ESSENTIAL TOUCH — VOICE GUIDE.pdf,research/source-assets/7e/7e87e69e590252799d8e72a0eaaf4a454b46de14f3299691d6bf4de846a17770.pdf,7e87e69e590252799d8e72a0eaaf4a454b46de14f3299691d6bf4de846a17770,3,4,text_dominant,1494,"""Our best-selling product"" *The one most people return for.* ""We care about your skin"" *Your skin has memory. I work with what it remembers.* Voice checklist (use before publishing any page) Every headline has either an italic emotional word or an all-caps eyebrow No sentence is longer than 18 words unless it's on the About page At least one three-beat comma",relocated_business_design_pages,reviewed,
pdf_0033,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER'S ESSENTIAL TOUCH — VOICE GUIDE.pdf,research/source-assets/7e/7e87e69e590252799d8e72a0eaaf4a454b46de14f3299691d6bf4de846a17770.pdf,7e87e69e590252799d8e72a0eaaf4a454b46de14f3299691d6bf4de846a17770,4,4,mixed,122,"5. Mission moment (teen/senior impact) 6. Soft education (1 skin myth) 7. Open slots this week (booking push, light touch)",relocated_business_design_pages,reviewed,
pdf_0034,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,1,59,visual_dominant,33,AMBER’S ESSENTIAL OILS STRUCTURE.,relocated_product_structure_pages,reviewed,
pdf_0035,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,2,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0036,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,3,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0037,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,4,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0038,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,5,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0039,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,6,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0040,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,7,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0041,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,8,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0042,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,9,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0043,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,10,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0044,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,11,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0045,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,12,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0046,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,13,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0047,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,14,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0048,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,15,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0049,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,16,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0050,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,17,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0051,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,18,59,visual_dominant,0,,relocated_product_structure_pages,reviewed,
pdf_0052,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,19,59,text_dominant,725,"[RESTRICTED: owner formula, costing, and safety research]",relocated_product_structure_pages,reviewed,Public extraction redacted; consult the controlled owner source only with explicit authorization.
pdf_0053,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,20,59,text_dominant,1337,"[RESTRICTED: owner formula, costing, and safety research]",relocated_product_structure_pages,reviewed,Public extraction redacted; consult the controlled owner source only with explicit authorization.
pdf_0054,relocated_amber_source,/Users/jayjonah/ambers-essential-touch/AMBER’S ESSENTIAL OILS STRUCTURE./AMBER’S ESSENTIAL OILS STRUCTURE. 2.pdf,,19ffede05dc7164869e56e9b809b1bdde24a8870b4673fb81faa308361e2602d,21,59,text_dominant,777,"[RESTRICTED: owner formula, costing, and safety research]",relocated_product_structure_pages,reviewed,Public extraction redacted; consult the controlled owner source only with explicit authorization.
